t,i,r,value
2026,NUCLEAR,Andhra_Pradesh,2416
2026,NUCLEAR,Gujarat,2416
2026,NUCLEAR,Madhya_Pradesh,540
2027,NUCLEAR,Andhra_Pradesh,2416
2027,NUCLEAR,Gujarat,2416
2027,NUCLEAR,Madhya_Pradesh,540
2028,NUCLEAR,Andhra_Pradesh,2416
2028,NUCLEAR,Gujarat,2416
2028,NUCLEAR,Madhya_Pradesh,540
2029,NUCLEAR,Andhra_Pradesh,2416
2029,NUCLEAR,Gujarat,2416
2029,NUCLEAR,Madhya_Pradesh,540
2030,NUCLEAR,Andhra_Pradesh,2416
2030,NUCLEAR,Gujarat,2416
2030,NUCLEAR,Madhya_Pradesh,540
2031,NUCLEAR,Madhya_Pradesh,560
2031,NUCLEAR,Maharashtra,2046
2031,NUCLEAR,Rajasthan,560
2031,NUCLEAR,Uttar_Pradesh,560
2032,NUCLEAR,Madhya_Pradesh,560
2032,NUCLEAR,Maharashtra,2046
2032,NUCLEAR,Rajasthan,560
2032,NUCLEAR,Uttar_Pradesh,560
2033,NUCLEAR,Madhya_Pradesh,560
2033,NUCLEAR,Maharashtra,2046
2033,NUCLEAR,Rajasthan,560
2033,NUCLEAR,Uttar_Pradesh,560
2034,NUCLEAR,Madhya_Pradesh,560
2034,NUCLEAR,Maharashtra,2046
2034,NUCLEAR,Rajasthan,560
2034,NUCLEAR,Uttar_Pradesh,560
2035,NUCLEAR,Madhya_Pradesh,560
2035,NUCLEAR,Maharashtra,2046
2035,NUCLEAR,Rajasthan,560
2035,NUCLEAR,Uttar_Pradesh,560
2036,NUCLEAR,Madhya_Pradesh,560
2036,NUCLEAR,Maharashtra,2046
2036,NUCLEAR,Rajasthan,560
2036,NUCLEAR,Uttar_Pradesh,560
2037,NUCLEAR,Madhya_Pradesh,560
2037,NUCLEAR,Maharashtra,2046
2037,NUCLEAR,Rajasthan,560
2037,NUCLEAR,Uttar_Pradesh,560
2038,NUCLEAR,Madhya_Pradesh,560
2038,NUCLEAR,Maharashtra,2046
2038,NUCLEAR,Rajasthan,560
2038,NUCLEAR,Uttar_Pradesh,560
2039,NUCLEAR,Madhya_Pradesh,560
2039,NUCLEAR,Maharashtra,2046
2039,NUCLEAR,Rajasthan,560
2039,NUCLEAR,Uttar_Pradesh,560
2040,NUCLEAR,Madhya_Pradesh,560
2040,NUCLEAR,Maharashtra,2046
2040,NUCLEAR,Rajasthan,560
2040,NUCLEAR,Uttar_Pradesh,560
2041,NUCLEAR,Madhya_Pradesh,560
2041,NUCLEAR,Maharashtra,2046
2041,NUCLEAR,Rajasthan,560
2041,NUCLEAR,Uttar_Pradesh,560
2042,NUCLEAR,Madhya_Pradesh,560
2042,NUCLEAR,Maharashtra,2046
2042,NUCLEAR,Rajasthan,560
2042,NUCLEAR,Uttar_Pradesh,560
2043,NUCLEAR,Madhya_Pradesh,560
2043,NUCLEAR,Maharashtra,2046
2043,NUCLEAR,Rajasthan,560
2043,NUCLEAR,Uttar_Pradesh,560
2044,NUCLEAR,Madhya_Pradesh,560
2044,NUCLEAR,Maharashtra,2046
2044,NUCLEAR,Rajasthan,560
2044,NUCLEAR,Uttar_Pradesh,560
2045,NUCLEAR,Madhya_Pradesh,560
2045,NUCLEAR,Maharashtra,2046
2045,NUCLEAR,Rajasthan,560
2045,NUCLEAR,Uttar_Pradesh,560
2046,NUCLEAR,Madhya_Pradesh,560
2046,NUCLEAR,Maharashtra,2046
2046,NUCLEAR,Rajasthan,560
2046,NUCLEAR,Uttar_Pradesh,560
2047,NUCLEAR,Madhya_Pradesh,560
2047,NUCLEAR,Maharashtra,2046
2047,NUCLEAR,Rajasthan,560
